VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,3/25/2017 8:55,3/25/2017 9:09,6,3.34,1,N,100,231,1,13,0,0.5,2.76,0,0.3,16.56
1,4/11/2017 14:53,4/11/2017 15:19,1,1.8,1,N,186,43,1,16,0,0.5,4,0,0.3,20.8
1,12/15/2017 7:26,12/15/2017 7:34,1,1,1,N,262,236,1,6.5,0,0.5,1.45,0,0.3,8.75
2,5/7/2017 13:17,5/7/2017 13:48,1,3.7,1,N,188,97,1,20.5,0,0.5,6.39,0,0.3,27.69
2,4/15/2017 23:32,4/15/2017 23:49,1,4.37,1,N,4,112,2,16.5,0.5,0.5,0,0,0.3,17.8
2,3/25/2017 20:34,3/25/2017 20:42,6,2.3,1,N,161,236,1,9,0.5,0.5,2.06,0,0.3,12.36
2,5/3/2017 19:04,5/3/2017 20:03,1,12.83,1,N,79,241,1,47.5,1,0.5,9.86,0,0.3,59.16
2,8/15/2017 17:41,8/15/2017 18:03,1,2.98,1,N,237,114,1,16,1,0.5,1.78,0,0.3,19.58
2,2/4/2017 16:17,2/4/2017 16:29,1,1.2,1,N,234,249,2,9,0,0.5,0,0,0.3,9.8
1,11/10/2017 15:20,11/10/2017 15:40,1,1.6,1,N,239,237,1,13,0,0.5,2.75,0,0.3,16.55
2,3/4/2017 11:58,3/4/2017 12:13,1,1.77,1,N,162,142,1,11.5,0,0.5,2.46,0,0.3,14.76
2,3/5/2017 19:15,3/5/2017 19:52,2,18.9,2,N,236,132,1,52,0,0.5,14.58,5.54,0.3,72.92
1,6/9/2017 19:00,6/9/2017 19:20,1,3,1,N,13,148,1,15,1,0.5,3.35,0,0.3,20.15
2,11/6/2017 23:35,11/6/2017 23:42,1,2.39,1,N,209,25,1,9.5,0.5,0.5,2.16,0,0.3,12.96
1,2/22/2017 15:18,2/22/2017 15:42,1,3.3,1,N,238,161,1,17.5,0,0.5,4.55,0,0.3,22.85
2,6/2/2017 6:41,6/2/2017 6:57,1,5.93,1,N,239,231,1,19,0,0.5,3,0,0.3,22.8
1,8/15/2017 19:48,8/15/2017 20:00,1,3.6,1,N,163,41,1,12.5,1,0.5,2.85,0,0.3,17.15
2,7/10/2017 13:36,7/10/2017 13:48,2,1.71,1,N,142,100,1,9.5,0,0.5,0,0,0.3,10.3
2,4/10/2017 18:12,4/10/2017 18:17,2,0.63,1,N,263,262,2,5,1,0.5,0,0,0.3,6.8
2,3/5/2017 4:01,3/5/2017 4:14,2,2.77,1,N,79,68,1,11.5,0.5,0.5,3.2,0,0.3,16
1,12/30/2017 23:52,12/30/2017 23:58,1,1.1,1,N,166,238,2,6.5,0.5,0.5,0,0,0.3,7.8
2,10/11/2017 12:34,10/11/2017 13:22,1,12.3,5,N,138,265,1,68.25,0,0,12,16.26,0.3,96.81
2,1/6/2017 20:12,1/6/2017 20:18,1,0.52,1,N,90,249,1,5.5,0.5,0.5,1,0,0.3,7.8
1,6/27/2017 0:08,6/27/2017 0:13,1,1.7,1,N,162,263,1,7,0.5,0.5,2.05,0,0.3,10.35
1,2/13/2017 10:29,2/13/2017 10:34,1,0.9,1,N,237,237,1,5.5,0,0.5,1.25,0,0.3,7.55
2,1/14/2017 19:58,1/14/2017 20:05,1,1.72,1,N,43,141,1,8,0.5,0.5,2.79,0,0.3,12.09
1,11/4/2017 1:27,11/4/2017 1:44,1,2.7,1,N,50,263,1,13,0.5,0.5,2.85,0,0.3,17.15
2,11/24/2017 10:48,11/24/2017 10:52,1,0.85,1,N,237,161,2,5.5,0,0.5,0,0,0.3,6.3
1,11/22/2017 10:24,11/22/2017 10:38,1,2.3,1,N,162,113,1,11,0,0.5,2.35,0,0.3,14.15
2,11/6/2017 20:30,11/7/2017 0:00,1,30.83,1,N,132,23,1,80,0.5,0.5,18.56,11.52,0.3,111.38
1,8/9/2017 21:01,8/9/2017 21:14,1,2.3,1,N,163,234,1,10.5,0.5,0.5,1.77,0,0.3,13.57
1,4/12/2017 11:07,4/12/2017 11:19,4,1.5,1,N,239,43,2,9,0,0.5,0,0,0.3,9.8
2,7/26/2017 23:26,7/26/2017 23:55,1,14.32,1,N,132,149,2,40.5,0.5,0.5,0,0,0.3,41.8
1,10/26/2017 19:43,10/26/2017 20:06,1,2.9,1,N,230,238,1,15.5,1,0.5,3.45,0,0.3,20.75
1,3/4/2017 18:19,3/4/2017 18:32,1,1.7,1,N,236,161,1,10.5,0,0.5,1.7,0,0.3,13
2,11/5/2017 1:35,11/5/2017 1:43,5,2.69,1,N,24,48,2,9.5,0.5,0.5,0,0,0.3,10.8
1,2/24/2017 11:24,2/24/2017 11:29,1,0.6,1,N,142,142,2,5,0,0.5,0,0,0.3,5.8
2,2/23/2017 8:04,2/23/2017 8:18,1,2.11,1,N,140,161,1,11.5,0,0.5,2.46,0,0.3,14.76
1,2/12/2017 18:45,2/12/2017 18:48,4,0.4,1,N,142,143,1,4,0,0.5,0.72,0,0.3,5.52
2,12/8/2017 12:21,12/8/2017 12:30,1,1.28,1,N,238,166,1,7.5,0,0.5,5,0,0.3,13.3
2,9/15/2017 19:09,9/15/2017 19:23,3,1.23,1,N,90,79,1,9.5,1,0.5,2.26,0,0.3,13.56
1,2/25/2017 7:41,2/25/2017 7:50,1,2,1,N,170,113,1,9,0,0.5,1.95,0,0.3,11.75
2,12/8/2017 7:59,12/8/2017 8:15,1,4.52,1,N,116,239,1,16.5,0,0.5,2,0,0.3,19.3
2,4/26/2017 11:18,4/26/2017 11:24,2,1.12,1,N,234,211,1,6.5,0,0.5,1.82,0,0.3,9.12
2,2/15/2017 17:30,2/15/2017 17:35,1,0.59,1,N,249,113,1,5,1,0.5,1.36,0,0.3,8.16
1,8/14/2017 17:15,8/14/2017 17:25,1,1.5,1,N,239,230,1,8.5,1,0.5,2.55,0,0.3,12.85
2,9/5/2017 15:10,9/5/2017 15:25,4,1.71,1,N,162,186,2,10.5,0,0.5,0,0,0.3,11.3
2,1/13/2017 2:37,1/13/2017 3:17,4,8.69,1,N,246,231,1,31.5,0.5,0.5,6.56,0,0.3,39.36
2,3/11/2017 4:46,3/11/2017 4:57,6,2.69,1,N,79,88,2,11,0.5,0.5,0,0,0.3,12.3
2,4/27/2017 7:26,4/27/2017 7:28,1,0.42,1,N,234,107,1,3.5,0,0.5,0.86,0,0.3,5.16
2,7/13/2017 8:23,7/13/2017 8:47,2,7.37,1,N,263,88,2,25.5,0,0.5,0,0,0.3,26.3
1,4/4/2017 16:22,4/4/2017 16:35,1,2.2,1,N,163,90,2,10.5,1,0.5,0,0,0.3,12.3
1,1/5/2017 14:56,1/5/2017 15:24,2,2.6,1,N,100,237,2,17.5,0,0.5,0,0,0.3,18.3
2,3/28/2017 19:10,3/28/2017 19:13,1,0.8,1,N,151,239,1,4.5,1,0.5,1.26,0,0.3,7.56
1,9/1/2017 9:37,9/1/2017 10:00,1,2.9,1,N,24,48,2,16,0,0.5,0,0,0.3,16.8
2,8/17/2017 22:06,8/17/2017 22:32,1,11.07,1,N,138,97,1,32.5,0.5,0.5,6.76,0,0.3,40.56
1,2/10/2017 11:47,2/10/2017 12:09,1,2.7,1,N,238,161,1,15.5,0,0.5,4.05,0,0.3,20.35
2,3/7/2017 20:19,3/7/2017 20:29,2,2.51,1,N,229,146,1,10,0.5,0.5,3.39,0,0.3,14.69
2,3/18/2017 12:12,3/18/2017 12:20,1,0.78,1,N,230,50,2,7,0,0.5,0,0,0.3,7.8
2,3/3/2017 8:02,3/3/2017 8:05,1,0.85,1,N,164,170,1,4.5,0,0.5,1.59,0,0.3,6.89
2,4/26/2017 18:08,4/26/2017 18:11,5,0.38,1,N,236,236,1,4,1,0.5,1.16,0,0.3,6.96
2,4/21/2017 15:08,4/21/2017 15:18,1,1.15,1,N,163,100,1,8,0,0.5,1.76,0,0.3,10.56
2,2/4/2017 18:04,2/4/2017 18:19,1,7.16,1,N,141,243,2,21,0,0.5,0,0,0.3,21.8
2,10/5/2017 9:39,10/5/2017 9:42,6,0.22,3,N,48,48,2,21.5,0,0,0,0,0.3,21.8
1,3/17/2017 9:17,3/17/2017 9:21,1,0.7,1,N,237,236,1,5,0,0.5,1.15,0,0.3,6.95
2,12/31/2017 13:03,12/31/2017 13:06,6,0.71,1,N,161,229,2,4.5,0,0.5,0,0,0.3,5.3
2,12/12/2017 11:12,12/12/2017 12:01,1,3.1,1,N,186,263,1,28,0,0.5,5.76,0,0.3,34.56
2,9/3/2017 23:15,9/3/2017 23:31,2,2.96,1,N,161,148,1,13,0.5,0.5,2.86,0,0.3,17.16
1,12/13/2017 7:06,12/13/2017 7:11,1,0.8,1,N,142,230,1,5.5,0,0.5,1,0,0.3,7.3
2,8/1/2017 18:09,8/1/2017 18:14,1,0.96,1,N,162,162,2,5.5,1,0.5,0,0,0.3,7.3
1,10/10/2017 14:40,10/10/2017 14:54,4,1.9,1,N,144,68,2,10.5,0,0.5,0,0,0.3,11.3
2,8/5/2017 22:28,8/5/2017 22:34,4,0.97,1,N,43,43,2,6.5,0.5,0.5,0,0,0.3,7.8
2,8/13/2017 3:50,8/13/2017 3:53,2,0.95,1,N,68,246,1,5,0.5,0.5,1,0,0.3,7.3
2,4/25/2017 22:20,4/25/2017 22:25,4,1.02,1,N,166,24,1,6,0.5,0.5,1.46,0,0.3,8.76
2,5/1/2017 9:42,5/1/2017 9:47,1,0.78,1,N,13,231,1,5,0,0.5,1,0,0.3,6.8
2,6/3/2017 18:55,6/3/2017 19:03,6,1.16,1,N,234,230,1,7,0,0.5,1.95,0,0.3,9.75
1,4/16/2017 2:43,4/16/2017 3:04,3,4.3,1,N,249,255,1,17.5,0.5,0.5,2.22,0,0.3,21.02
1,2/25/2017 13:04,2/25/2017 13:15,1,1.9,1,N,107,161,1,9.5,0,0.5,2.55,0,0.3,12.85
2,3/17/2017 22:00,3/17/2017 22:22,2,11.2,1,N,138,180,1,31.5,0.5,0.5,6.56,0,0.3,39.36
1,1/10/2017 21:06,1/10/2017 21:13,1,2,1,N,246,50,2,8,0.5,0.5,0,0,0.3,9.3
2,11/16/2017 9:31,11/16/2017 9:43,2,1.02,1,N,48,161,1,8.5,0,0.5,1.86,0,0.3,11.16
2,10/28/2017 4:16,10/28/2017 4:33,3,5.11,1,N,79,74,1,16.5,0.5,0.5,5.34,0,0.3,23.14
2,10/13/2017 15:48,10/13/2017 15:56,1,0.96,1,N,249,234,2,6.5,0,0.5,0,0,0.3,7.3
2,9/20/2017 23:46,9/20/2017 23:54,1,1.9,1,N,249,164,1,8,0.5,0.5,1.86,0,0.3,11.16
1,7/29/2017 13:27,7/29/2017 13:36,1,1.6,1,N,249,186,1,8,0,0.5,1,0,0.3,9.8
1,9/6/2017 11:37,9/6/2017 11:40,1,0.4,1,N,140,140,2,4.5,0,0.5,0,0,0.3,5.3
1,9/28/2017 7:17,9/28/2017 7:21,1,0.9,1,N,237,162,1,5,0,0.5,1,0,0.3,6.8
2,8/18/2017 1:17,8/18/2017 1:34,1,4.96,1,N,114,257,1,17,0.5,0.5,3.66,0,0.3,21.96
1,2/28/2017 18:02,2/28/2017 18:13,1,4.9,1,N,87,170,1,16,1,0.5,5.3,0,0.3,23.1
1,3/10/2017 18:31,3/10/2017 18:58,1,9.6,1,N,234,244,2,30.5,1,0.5,0,0,0.3,32.3
1,5/6/2017 14:54,5/6/2017 15:19,1,2.9,1,N,79,255,2,17.5,0,0.5,0,0,0.3,18.3
2,7/15/2017 0:28,7/15/2017 0:37,2,1.62,1,N,125,87,1,8,0.5,0.5,1,0,0.3,10.3
1,10/17/2017 14:29,10/17/2017 15:00,1,13.8,1,N,138,51,1,39,0,0.5,9.1,5.76,0.3,54.66
1,2/11/2017 19:09,2/11/2017 19:32,1,1.7,1,N,249,107,1,14.5,0,0.5,1,0,0.3,16.3
2,6/23/2017 19:53,6/23/2017 20:00,2,0.88,1,N,170,234,1,6.5,1,0.5,0.5,0,0.3,8.8
